"Stkcd","ShortName_EN","Accper","F100401A"
"000031","DYC","2026-03-31","0.353184"
"000032","SSDA","2024-06-30","1.419318"
"000032","SSDA","2024-09-30","1.716764"
"000032","SSDA","2024-12-31","1.619601"
"000032","SSDA","2025-03-31","2.092233"
"000032","SSDA","2025-06-30","1.915730"
"000032","SSDA","2025-09-30","2.111391"
"000032","SSDA","2025-12-31","1.762753"
"000032","SSDA","2026-03-31","1.650936"
"000034","SZSM","2024-06-30","1.564441"
"000034","SZSM","2024-09-30","2.050040"
"000034","SZSM","2024-12-31","2.353457"
"000034","SZSM","2025-03-31","2.559447"
"000034","SZSM","2025-06-30","2.341495"
"000034","SZSM","2025-09-30","2.723958"
"000034","SZSM","2025-12-31","2.387153"
"000034","SZSM","2026-03-31","2.010775"
"000035","ZGTY","2024-06-30","0.146850"
"000035","ZGTY","2024-09-30","0.162094"
"000035","ZGTY","2024-12-31","0.158664"
"000035","ZGTY","2025-03-31","0.152183"
"000035","ZGTY","2025-06-30","0.138683"
"000035","ZGTY","2025-09-30","0.170369"
"000035","ZGTY","2025-12-31","0.177318"
"000035","ZGTY","2026-03-31","0.219925"
"000036","HLKG","2024-06-30","0.807929"
"000036","HLKG","2024-09-30","0.952408"
"000036","HLKG","2024-12-31","1.017274"
"000036","HLKG","2025-03-31","0.951416"
"000036","HLKG","2025-06-30","0.914355"
"000036","HLKG","2025-09-30","1.025571"
"000036","HLKG","2025-12-31","1.542783"
"000036","HLKG","2026-03-31","1.123823"
"000037","SNDA","2024-06-30","3.902060"
"000037","SNDA","2024-09-30","3.852715"
"000037","SNDA","2024-12-31","3.181852"
"000037","SNDA","2025-03-31","3.293622"
"000037","SNDA","2025-06-30","3.470037"
"000037","SNDA","2025-09-30","3.410226"
"000037","SNDA","2025-12-31","2.808170"
"000037","SNDA","2026-03-31","4.367007"
"000039","ZJJT","2024-06-30","0.754437"
"000039","ZJJT","2024-09-30","0.721329"
"000039","ZJJT","2024-12-31","0.615995"
"000039","ZJJT","2025-03-31","0.710537"
"000039","ZJJT","2025-06-30","0.619686"
"000039","ZJJT","2025-09-30","0.647701"
"000039","ZJJT","2025-12-31","0.814397"
"000039","ZJJT","2026-03-31","0.852335"
"000040","ST XL","2024-09-30","0.179040"
"000042","ZZKG","2024-06-30","0.510478"
"000042","ZZKG","2024-09-30","0.690265"
"000042","ZZKG","2024-12-31","0.967837"
"000042","ZZKG","2025-03-31","1.251467"
"000042","ZZKG","2025-06-30","1.469809"
"000042","ZZKG","2025-09-30","1.716815"
"000042","ZZKG","2025-12-31","2.698348"
"000042","ZZKG","2026-03-31","3.251655"
"000045","SFZA","2024-06-30","0.979889"
"000045","SFZA","2024-09-30","1.151444"
"000045","SFZA","2024-12-31","1.271292"
"000045","SFZA","2025-03-31","1.374289"
"000045","SFZA","2025-06-30","1.322693"
"000045","SFZA","2025-09-30","1.512190"
"000045","SFZA","2025-12-31","1.442697"
"000045","SFZA","2026-03-31","1.637424"
"000048","JJZN","2024-06-30","1.773598"
"000048","JJZN","2024-09-30","2.048898"
"000048","JJZN","2024-12-31","2.193154"
"000048","JJZN","2025-03-31","2.060606"
"000048","JJZN","2025-06-30","1.916383"
"000048","JJZN","2025-09-30","2.014492"
"000048","JJZN","2025-12-31","2.253592"
"000048","JJZN","2026-03-31","3.287008"
"000049","DSDC","2024-06-30","1.419029"
"000049","DSDC","2024-09-30","1.558125"
"000049","DSDC","2024-12-31","1.371546"
"000049","DSDC","2025-03-31","1.331870"
"000049","DSDC","2025-06-30","1.348434"
"000049","DSDC","2025-09-30","1.622354"
"000049","DSDC","2025-12-31","1.552782"
"000049","DSDC","2026-03-31","1.487313"
"000050","STMA","2024-06-30","0.617460"
"000050","STMA","2024-09-30","0.679305"
"000050","STMA","2024-12-31","0.760751"
"000050","STMA","2025-03-31","0.684340"
"000050","STMA","2025-06-30","0.703090"
"000050","STMA","2025-09-30","0.818866"
"000050","STMA","2025-12-31","0.752426"
"000050","STMA","2026-03-31","0.663679"
"000055","FDJT","2024-06-30","0.617449"
"000055","FDJT","2024-09-30","0.708482"
"000055","FDJT","2024-12-31","0.685291"
"000055","FDJT","2025-03-31","0.700531"
"000055","FDJT","2025-06-30","0.752113"
"000055","FDJT","2025-09-30","0.734837"
"000055","FDJT","2025-12-31","0.785160"
"000055","FDJT","2026-03-31","0.691418"
"000056","HTGJ","2024-06-30","2.644933"
"000056","HTGJ","2024-09-30","3.994035"
"000056","HTGJ","2024-12-31","10.289103"
"000056","HTGJ","2025-03-31","19.682468"
"000056","HTGJ","2025-06-30","30.995437"
"000056","HTGJ","2025-09-30",""
"000056","HTGJ","2025-12-31",""
"000056","HTGJ","2026-03-31",""
"000058","SSG","2024-06-30","2.635533"
"000058","SSG","2024-09-30","3.650500"
"000058","SSG","2024-12-31","3.997430"
"000058","SSG","2025-03-31","3.999876"
"000058","SSG","2025-06-30","4.119609"
"000058","SSG","2025-09-30","4.800452"
"000058","SSG","2025-12-31","4.732606"
"000058","SSG","2026-03-31","3.967482"
"000059","HJGF","2024-06-30","0.470871"
"000059","HJGF","2024-09-30","0.585678"
"000059","HJGF","2024-12-31","0.632039"
"000059","HJGF","2025-03-31","0.628100"
"000059","HJGF","2025-06-30","0.775001"
"000059","HJGF","2025-09-30","0.762830"
"000059","HJGF","2025-12-31","0.826092"
"000059","HJGF","2026-03-31","0.819440"
"000060","ZJLN","2024-06-30","0.931347"
"000060","ZJLN","2024-09-30","1.074118"
"000060","ZJLN","2024-12-31","0.996680"
"000060","ZJLN","2025-03-31","1.037245"
"000060","ZJLN","2025-06-30","0.997261"
"000060","ZJLN","2025-09-30","1.220894"
"000060","ZJLN","2025-12-31","1.272586"
"000060","ZJLN","2026-03-31","1.299066"
"000061","NCP","2024-06-30","1.043245"
"000061","NCP","2024-09-30","1.357571"
"000061","NCP","2024-12-31","1.490739"
"000061","NCP","2025-03-31","1.176643"
"000061","NCP","2025-06-30","1.189564"
"000061","NCP","2025-09-30","1.447909"
"000061","NCP","2025-12-31","1.824953"
"000061","NCP","2026-03-31","1.284786"
"000062","SZHQ","2024-06-30","1.160561"
"000062","SZHQ","2024-09-30","3.806799"
"000062","SZHQ","2024-12-31","2.993103"
"000062","SZHQ","2025-03-31","3.099591"
"000062","SZHQ","2025-06-30","3.573698"
"000062","SZHQ","2025-09-30","3.857918"
"000062","SZHQ","2025-12-31","3.363647"
"000062","SZHQ","2026-03-31","3.310607"
"000063","ZXTX","2024-06-30","1.890704"
"000063","ZXTX","2024-09-30","2.051313"
"000063","ZXTX","2024-12-31","2.643333"
"000063","ZXTX","2025-03-31","2.255708"
"000063","ZXTX","2025-06-30","2.069198"
"000063","ZXTX","2025-09-30","2.896147"
"000063","ZXTX","2025-12-31","2.392993"
"000063","ZXTX","2026-03-31","2.014317"
"000065","BFGJ","2024-06-30","1.067814"
"000065","BFGJ","2024-09-30","1.079202"
"000065","BFGJ","2024-12-31","0.981042"
"000065","BFGJ","2025-03-31","1.040874"
"000065","BFGJ","2025-06-30","1.164295"
"000065","BFGJ","2025-09-30","1.069192"
"000065","BFGJ","2025-12-31","1.230035"
"000065","BFGJ","2026-03-31","1.423937"
"000066","ZGCC","2024-06-30","2.096367"
"000066","ZGCC","2024-09-30","2.536194"
"000066","ZGCC","2024-12-31","3.776588"
"000066","ZGCC","2025-03-31","3.755021"
"000066","ZGCC","2025-06-30","3.860512"
"000066","ZGCC","2025-09-30","4.465727"
"000066","ZGCC","2025-12-31","3.810105"
"000066","ZGCC","2026-03-31","3.923767"
"000068","HKSG","2024-06-30","2.723687"
"000068","HKSG","2024-09-30","3.764524"
"000068","HKSG","2024-12-31","3.155372"
"000068","HKSG","2025-03-31","3.185684"
"000068","HKSG","2025-06-30","3.417714"
"000068","HKSG","2025-09-30","3.671243"
"000068","HKSG","2025-12-31","3.391228"
"000068","HKSG","2026-03-31","3.453159"
"000069","HQCA","2024-06-30","0.194220"
"000069","HQCA","2024-09-30","0.285284"
"000069","HQCA","2024-12-31","0.280794"
"000069","HQCA","2025-03-31","0.260651"
"000069","HQCA","2025-06-30","0.252524"
"000069","HQCA","2025-09-30","0.306068"
"000069","HQCA","2025-12-31","0.366373"
"000069","HQCA","2026-03-31","0.331049"
"000070","ST TX","2024-06-30","1.491034"
"000070","ST TX","2024-09-30","1.698125"
"000070","ST TX","2024-12-31","2.515438"
"000070","ST TX","2025-03-31","2.537946"
"000070","ST TX","2025-06-30","3.385250"
"000070","TFXX","2025-09-30","4.319985"
"000070","TFXX","2025-12-31","6.409584"
"000070","TFXX","2026-03-31","9.423984"
"000078","HWSW","2024-06-30","1.372293"
"000078","HWSW","2024-09-30","1.645044"
"000078","HWSW","2024-12-31","2.359326"
"000078","HWSW","2025-03-31","2.128628"
"000078","HWSW","2025-06-30","2.233960"
"000078","HWSW","2025-09-30","2.302749"
"000078","HWSW","2025-12-31","4.182696"
"000078","HWSW","2026-03-31","3.832505"
"000088","YTG","2024-06-30","1.330346"
"000088","YTG","2024-09-30","1.458238"
"000088","YTG","2024-12-31","1.305667"
"000088","YTG","2025-03-31","1.252789"
"000088","YTG","2025-06-30","1.222952"
"000088","YTG","2025-09-30","1.169774"
"000088","YTG","2025-12-31","1.174723"
"000088","YTG","2026-03-31","1.191094"
"000089","SZJC","2024-06-30","1.181888"
"000089","SZJC","2024-09-30","1.293604"
"000089","SZJC","2024-12-31","1.242666"
"000089","SZJC","2025-03-31","1.184250"
"000089","SZJC","2025-06-30","1.237353"
"000089","SZJC","2025-09-30","1.229597"
"000089","SZJC","2025-12-31","1.230750"
"000089","SZJC","2026-03-31","1.146069"
"000090","TJJT","2024-06-30","0.507185"
"000090","TJJT","2024-09-30","0.562112"
"000090","TJJT","2024-12-31","0.511140"
"000090","TJJT","2025-03-31","0.467610"
"000090","TJJT","2025-06-30","0.448106"
"000090","TJJT","2025-09-30","0.454438"
"000090","TJJT","2025-12-31","0.468054"
"000090","TJJT","2026-03-31","0.459021"
"000096","GJNY","2024-06-30","1.846288"
"000096","GJNY","2024-09-30","1.888501"
"000096","GJNY","2024-12-31","2.303750"
"000096","GJNY","2025-03-31","3.545618"
"000096","GJNY","2025-06-30","2.495522"
"000096","GJNY","2025-09-30","2.144107"
"000096","GJNY","2025-12-31","1.971657"
"000096","GJNY","2026-03-31","1.918945"
"000099","ZXHZ","2024-06-30","2.378638"
"000099","ZXHZ","2024-09-30","2.706652"
"000099","ZXHZ","2024-12-31","3.762371"
"000099","ZXHZ","2025-03-31","3.345056"
"000099","ZXHZ","2025-06-30","3.079509"
"000099","ZXHZ","2025-09-30","3.081754"
"000099","ZXHZ","2025-12-31","2.879151"
"000099","ZXHZ","2026-03-31","2.342169"
"000100","TCLKJ","2024-06-30","0.586862"
"000100","TCLKJ","2024-09-30","0.629576"
"000100","TCLKJ","2024-12-31","0.711802"
"000100","TCLKJ","2025-03-31","0.635182"
"000100","TCLKJ","2025-06-30","0.628669"
"000100","TCLKJ","2025-09-30","0.724637"
"000100","TCLKJ","2025-12-31","0.708218"
"000100","TCLKJ","2026-03-31","0.693124"
"000151","ZCGF","2024-06-30","4.997603"
"000151","ZCGF","2024-09-30","6.844363"
"000151","ZCGF","2024-12-31","17.031409"
"000151","ZCGF","2025-03-31","18.711424"
"000151","ZCGF","2025-06-30","22.047664"
"000151","ZCGF","2025-09-30","17.850065"
"000151","ZCGF","2025-12-31","6.790440"
"000151","ZCGF","2026-03-31","5.482665"
"000153","FYYY","2024-06-30","1.265090"
"000153","FYYY","2024-09-30","1.406780"
"000153","FYYY","2024-12-31","1.392565"
"000153","FYYY","2025-03-31","1.367845"
"000153","FYYY","2025-06-30","1.353033"
"000153","FYYY","2025-09-30","1.412266"
"000153","FYYY","2025-12-31","1.370711"
"000153","FYYY","2026-03-31","1.383137"
"000155","CNDL","2024-06-30","1.546248"
"000155","CNDL","2024-09-30","1.734679"
"000155","CNDL","2024-12-31","1.560930"
"000155","CNDL","2025-03-31","1.612146"
"000155","CNDL","2025-06-30","1.401693"
"000155","CNDL","2025-09-30","1.525917"
"000155","CNDL","2025-12-31","1.638431"
"000155","CNDL","2026-03-31","2.110662"
"000156","HSCM","2024-06-30","0.797856"
"000156","HSCM","2024-09-30","0.967797"
"000156","HSCM","2024-12-31","0.921239"
"000156","HSCM","2025-03-31","1.051863"
"000156","HSCM","2025-06-30","0.999222"
"000156","HSCM","2025-09-30","1.026329"
"000156","HSCM","2025-12-31","0.959929"
"000156","HSCM","2026-03-31","0.930403"
"000157","ZLZK","2024-06-30","1.133002"
"000157","ZLZK","2024-09-30","1.093512"
"000157","ZLZK","2024-12-31","1.048528"
"000157","ZLZK","2025-03-31","1.071396"
"000157","ZLZK","2025-06-30","1.053104"
"000157","ZLZK","2025-09-30","1.143711"
"000157","ZLZK","2025-12-31","1.246591"
"000157","ZLZK","2026-03-31","1.223908"
"000158","CSBM","2024-06-30","1.841427"
"000158","CSBM","2024-09-30","3.820411"
"000158","CSBM","2024-12-31","5.943643"
"000158","CSBM","2025-03-31","6.673140"
"000158","CSBM","2025-06-30","6.616116"
"000158","CSBM","2025-09-30","6.940570"
"000158","CSBM","2025-12-31","5.987069"
"000158","CSBM","2026-03-31","5.207949"
"000159","GJSY","2024-06-30","1.016020"
"000159","GJSY","2024-09-30","1.658902"
"000159","GJSY","2024-12-31","1.426233"
"000159","GJSY","2025-03-31","1.249775"
"000159","GJSY","2025-06-30","1.331070"
"000159","GJSY","2025-09-30","1.339701"
"000159","GJSY","2025-12-31","1.352035"
"000159","GJSY","2026-03-31","1.515851"
"000166","SWHY","2024-06-30","0.829009"
"000166","SWHY","2024-09-30","1.088847"
"000166","SWHY","2024-12-31","1.004610"
"000166","SWHY","2025-03-31","0.911227"
"000166","SWHY","2025-06-30","0.920072"
"000166","SWHY","2025-09-30","0.956435"
"000166","SWHY","2025-12-31","0.941387"
"000166","SWHY","2026-03-31","0.816867"
"000301","DFSH","2024-06-30","2.171632"
"000301","DFSH","2024-09-30","2.663070"
"000301","DFSH","2024-12-31","2.103239"
"000301","DFSH","2025-03-31","2.077740"
"000301","DFSH","2025-06-30","2.105708"
"000301","DFSH","2025-09-30","2.418740"
"000301","DFSH","2025-12-31","2.736089"
"000301","DFSH","2026-03-31","2.571474"
"000333","MDJT","2024-06-30","2.553926"
"000333","MDJT","2024-09-30","2.641032"
"000333","MDJT","2024-12-31","2.529484"
"000333","MDJT","2025-03-31","2.488709"
"000333","MDJT","2025-06-30","2.412557"
"000333","MDJT","2025-09-30","2.384530"
"000333","MDJT","2025-12-31","2.511235"
"000333","MDJT","2026-03-31","2.365171"
"000338","WCDL","2024-06-30","1.197106"
"000338","WCDL","2024-09-30","1.142167"
"000338","WCDL","2024-12-31","0.980282"
"000338","WCDL","2025-03-31","1.144334"
"000338","WCDL","2025-06-30","1.061430"
"000338","WCDL","2025-09-30","0.928027"
"000338","WCDL","2025-12-31","1.143532"
"000338","WCDL","2026-03-31","1.580501"
"000400","XJDQ","2024-06-30","2.887291"
"000400","XJDQ","2024-09-30","2.797110"
"000400","XJDQ","2024-12-31","2.265383"
"000400","XJDQ","2025-03-31","1.959611"
"000400","XJDQ","2025-06-30","1.709562"
"000400","XJDQ","2025-09-30","2.074506"
"000400","XJDQ","2025-12-31","1.957283"
"000400","XJDQ","2026-03-31","2.047167"
"000401","JDSN","2024-06-30","0.365267"
"000401","JDSN","2024-09-30","0.492547"
"000401","JDSN","2024-12-31","0.475158"
"000401","JDSN","2025-03-31","0.460165"
"000401","JDSN","2025-06-30","0.396852"
"000401","JYJD","2025-09-30","0.440495"
"000401","JYJD","2025-12-31","0.396236"
"000401","JYJD","2026-03-31","0.451605"
"000402","JRJ","2024-06-30","0.189154"
"000402","JRJ","2024-09-30","0.287317"
"000402","JRJ","2024-12-31","0.353028"
"000402","JRJ","2025-03-31","0.305787"
"000402","JRJ","2025-06-30","0.318767"
"000402","JRJ","2025-09-30","0.352457"
"000402","JRJ","2025-12-31","0.385805"
"000402","JRJ","2026-03-31","0.353909"
"000403","PLSW","2024-06-30","2.568379"
"000403","PLSW","2024-09-30","2.320496"
"000403","PLSW","2024-12-31","1.951071"
"000403","PLSW","2025-03-31","1.968662"
"000403","PLSW","2025-06-30","2.181781"
"000403","PLSW","2025-09-30","1.917584"
"000403","PLSW","2025-12-31","1.610016"
"000403","PLSW","2026-03-31","1.517545"
"000404","CHHY","2024-06-30","0.719784"
"000404","CHHY","2024-09-30","0.935324"
"000404","CHHY","2024-12-31","0.950320"
"000404","CHHY","2025-03-31","0.959473"
"000404","CHHY","2025-06-30","0.886740"
"000404","CHHY","2025-09-30","0.878410"
"000404","CHHY","2025-12-31","0.818416"
"000404","CHHY","2026-03-31","0.834758"
"000407","SLGF","2024-06-30","0.698152"
"000407","SLGF","2024-09-30","0.850834"
"000407","SLGF","2024-12-31","0.910165"
"000407","SLGF","2025-03-31","0.856244"
"000407","SLGF","2025-06-30","0.896034"
"000407","SLGF","2025-09-30","0.910389"
"000407","SLGF","2025-12-31","1.306570"
"000407","SLGF","2026-03-31","1.208281"
"000408","ZGKY","2024-06-30","2.900981"
"000408","ZGKY","2024-09-30","3.442312"
"000408","ZGKY","2024-12-31","3.164988"
"000408","ZGKY","2025-03-31","3.893772"
"000408","ZGKY","2025-06-30","4.266196"
"000408","ZGKY","2025-09-30","6.069996"
"000408","ZGKY","2025-12-31","8.172942"
"000408","ZGKY","2026-03-31","7.068569"
"000409","YDKJ","2024-06-30","3.203101"
"000409","YDKJ","2024-09-30","3.482879"
"000409","YDKJ","2024-12-31","3.436854"
"000409","YDKJ","2025-03-31","4.502320"
"000409","YDKJ","2025-06-30","4.280053"
"000409","YDKJ","2025-09-30","4.185864"
"000409","YDKJ","2025-12-31","4.033125"
"000409","YDKJ","2026-03-31","3.633423"
"000410","SYJC","2024-06-30","13.811292"
"000410","SYJC","2024-09-30","17.117066"
"000410","SYJC","2024-12-31","14.662324"
"000410","SYJC","2025-03-31","16.056940"
"000410","SYJC","2025-06-30","5.766233"
"000410","SYJC","2025-09-30","3.929044"
"000410","SYJC","2025-12-31","4.381605"
"000410","SYJC","2026-03-31","4.044550"
"000411","YTJT","2024-06-30","1.023790"
"000411","YTJT","2024-09-30","1.115820"
"000411","YTJT","2024-12-31","1.067448"
"000411","YTJT","2025-03-31","1.022188"
"000411","YTJT","2025-06-30","1.060485"
"000411","YTJT","2025-09-30","1.093158"
"000411","YTJT","2025-12-31","1.192737"
"000411","YTJT","2026-03-31","1.004048"
"000415","BHZL","2024-06-30","0.332837"
"000415","BHZL","2024-09-30","0.402965"
"000415","BHZL","2024-12-31","0.478066"
"000415","BHZL","2025-03-31","0.422671"
"000415","BHZL","2025-06-30","0.449457"
"000415","BHZL","2025-09-30","0.471319"
"000415","BHZL","2025-12-31","0.534865"
"000415","BHZL","2026-03-31","0.580390"
"000417","HFBH","2024-06-30","0.556067"
"000417","HBJT","2024-09-30","0.674338"
"000417","HBJT","2024-12-31","0.865965"
"000417","HBJT","2025-03-31","0.742257"
"000417","HBJT","2025-06-30","0.752333"
"000417","HBJT","2025-09-30","0.795860"
"000417","HBJT","2025-12-31","1.093385"
"000417","HBJT","2026-03-31","0.892333"
"000419","TCKG","2024-06-30","0.593039"
"000419","TCKG","2024-09-30","0.781971"
"000419","TCKG","2024-12-31","0.818288"
