date,stock_code,stock_name,margin_balance,margin_purchase_amount,margin_repayment_amount,short_selling_balance,short_selling_volume,short_selling_repayment_volume
2023-09-22,561580,央企红利,2991077,2006,358568,0,0,0
2023-09-22,561910,电池ETF,5150092,943524,572060,0,0,0
2023-09-22,561960,央企回报,57354,0,0,0,0,0
2023-09-22,561990,300增强,7199215,251174,179920,0,0,0
2023-09-22,562310,300成长,9374707,4864003,2872390,0,0,0
2023-09-22,562510,旅游ETF,33385208,3319564,1482683,0,0,0
2023-09-22,562800,稀有金属,46091910,2771536,3022632,2930000,0,0
2023-09-22,562860,疫苗ETF,3168056,838221,646379,0,0,0
2023-09-22,562990,碳中和E,8850184,1469450,867041,0,0,0
2023-09-22,563000,中国A50,16861479,407223,3434139,0,0,0
2023-09-22,588000,科创50,5543519129,1089567110,1139437945,302345390,159860979,135853371
2023-09-22,588050,科创ETF,377304175,34163904,45377903,6997637,3009600,4106500
2023-09-22,588060,上证科创,87957412,12238623,17849921,1500000,1500000,972600
2023-09-22,588080,科创板50,843032764,138904783,158122405,36883787,6936600,8057600
2023-09-22,588090,科创板,205157226,13744785,16980764,2197200,0,1963815
2023-09-22,588100,科创信息,29539585,3951766,1757207,3000000,0,0
2023-09-22,588180,科创50基,72358267,2755852,5481711,88000000,0,0
2023-09-22,588200,科创芯片,592765537,123089218,80725772,8467000,2000000,2700000
2023-09-22,588290,芯片科创,31240887,12121328,3938307,11300000,0,0
2023-09-22,588300,双创ETF,19294784,366287,775976,0,0,0
2023-09-22,588330,双创龙头,13546981,1243488,1701861,6350000,0,0
2023-09-22,588360,创创ETF,11406446,2291642,2544681,0,0,0
2023-09-22,588380,创50ETF,17148766,755938,3033085,1000000,1000000,1000000
2023-09-22,588400,双创50,34269405,790689,4335323,0,0,0
2023-09-22,588460,科创增强,38770401,3956919,5002065,0,0,0
2023-09-22,600000,浦发银行,3225921840,11782719,19819411,3828830,127613,553800
2023-09-22,600004,白云机场,391425330,9735642,9265149,192392,13500,15500
2023-09-22,600006,东风汽车,331858097,13475980,3553029,339408,129900,46200
2023-09-22,600007,中国国贸,143822620,2633486,8783709,192209,29200,2000
2023-09-22,600008,首创环保,701076464,33919486,33348727,12238222,304300,717800
2023-09-22,600009,上海机场,1535667574,23598868,33043377,300613,13700,37600
2023-09-22,600010,包钢股份,1716090685,40757470,61539630,33540900,9749100,3877000
2023-09-22,600011,华能国际,276497482,15616491,9802887,3000967,139600,183900
2023-09-22,600012,皖通高速,25715021,3845682,2436881,106800,48200,7400
2023-09-22,600015,华夏银行,939894310,12288022,15682119,468769,27300,63600
2023-09-22,600016,民生银行,6411453214,46475444,40869454,32596346,397100,301400
2023-09-22,600017,日照港,261976522,7430490,3745563,239998,89700,29200
2023-09-22,600018,上港集团,324353125,5520773,4500663,292799,30600,34000
2023-09-22,600019,宝钢股份,1155367802,46801083,26636845,4395035,225800,437500
2023-09-22,600020,中原高速,138548137,8882597,3837958,8100,0,0
2023-09-22,600021,上海电力,900629281,12564631,12401776,2419323,6900,575400
2023-09-22,600022,山东钢铁,427977107,8753177,8269082,6757117,2086400,1110700
2023-09-22,600023,浙能电力,236460315,21123878,4900531,3318800,106000,124300
2023-09-22,600025,华能水电,2089278301,29462908,15951444,1304875,11500,26000
2023-09-22,600026,中远海能,367987481,35927389,28943198,324671,106500,233900
2023-09-22,600027,华电国际,225158624,8375647,8302699,5298673,190100,486900
2023-09-22,600028,中国石化,1216958800,28337655,65465294,6454647,459800,260000
2023-09-22,600029,南方航空,1376263796,6518544,11284268,2025490,49900,149700
2023-09-22,600030,中信证券,11432192878,310527349,292299608,3314789,694100,434945
2023-09-22,600031,三一重工,2492823315,31584432,52963507,617090,141800,17700
2023-09-22,600032,浙江新能,89603008,1310076,1687098,2357530,34500,34200
2023-09-22,600033,福建高速,319735136,4639415,2028861,0,0,0
2023-09-22,600035,楚天高速,104796727,5302358,3538898,70400,0,189800
2023-09-22,600036,招商银行,7249573500,75191404,204054418,3373903,1007800,385600
2023-09-22,600037,歌华有线,666471256,12623861,10422474,744505,23100,23300
2023-09-22,600038,中直股份,1027236806,21822424,22209967,381202,61400,8900
2023-09-22,600039,四川路桥,741517902,32357817,40947250,980987,80900,165300
2023-09-22,600048,保利发展,2255607496,66991289,35382688,4054991,148700,276600
2023-09-22,600050,中国联通,2609503471,79099033,130094779,5323712,930100,1772700
2023-09-22,600053,九鼎投资,141484944,493723,1902609,2000,0,0
2023-09-22,600055,万东医疗,839124522,1405801,9273281,81324,4500,31700
2023-09-22,600056,中国医药,472682368,6294461,11219076,1715728,81800,122000
2023-09-22,600057,厦门象屿,260353177,12977427,5899391,1198302,157700,900
2023-09-22,600058,五矿发展,253848549,1675534,6833961,135852,6800,2799
2023-09-22,600059,古越龙山,383041603,10619891,11321975,314317,143000,39089
2023-09-22,600060,海信视像,217902432,4387174,2791017,696739,25400,28900
2023-09-22,600061,国投资本,1054207143,26024871,15730817,731964,8700,5000
2023-09-22,600062,华润双鹤,550818939,6716981,10610360,252444,30700,24400
2023-09-22,600063,皖维高新,704799135,2510231,5930086,722854,17600,172200
2023-09-22,600064,南京高科,343689327,9176782,9420848,1077888,466200,0
2023-09-22,600066,宇通客车,155496461,10825570,3778922,1045890,66600,58400
2023-09-22,600067,冠城大通,260993357,2857193,3545503,77800,0,0
2023-09-22,600071,凤凰光学,173610205,8285200,4847914,4100,0,17100
2023-09-22,600072,中船科技,529680209,18857801,30656043,717582,49600,115796
2023-09-22,600073,上海梅林,452546650,5847816,7834666,697700,16400,38400
2023-09-22,600075,新疆天业,294798546,19948164,26613340,1419384,186090,99752
2023-09-22,600076,康欣新材,148974270,10732028,6041312,18000,0,73100
2023-09-22,600079,人福医药,370741866,118152818,54164199,2303143,1446720,162066
2023-09-22,600081,东风科技,106739862,8999731,12415876,1300,0,0
2023-09-22,600085,同仁堂,745823229,17912140,11406478,140700,6400,5600
2023-09-22,600088,中视传媒,149589794,2745392,7506157,23500,0,0
2023-09-22,600089,特变电工,4386509035,48839997,73513624,2699123,1174285,80290
2023-09-22,600094,大名城,605869945,857331,4230531,128200,7500,0
2023-09-22,600095,湘财股份,497133637,25638971,17934894,5168841,617800,771251
2023-09-22,600096,云天化,1797931054,21907770,28782611,2088225,149800,49500
2023-09-22,600098,广州发展,462467441,10400209,1902660,1744512,34300,400
2023-09-22,600100,同方股份,1434882118,129876195,102511805,5053591,646400,636499
2023-09-22,600101,明星电力,131238012,595682,1400638,1100,0,0
2023-09-22,600104,上汽集团,1420335151,18583205,19160977,456500,68600,122300
2023-09-22,600105,永鼎股份,423300215,49095096,29517249,485910,99500,161900
2023-09-22,600106,重庆路桥,265290879,9667608,13471152,0,0,0
2023-09-22,600107,美尔雅,170137352,4325435,2891682,13700,0,6000
2023-09-22,600108,亚盛集团,371360149,13060185,7983162,435186,15400,30600
2023-09-22,600109,国金证券,2139517998,44079842,63878100,4128113,268881,198801
2023-09-22,600110,诺德股份,768563285,2352816,7447402,2358548,392900,370200
2023-09-22,600111,北方稀土,3671732459,46410086,29170960,12470615,139440,302000
2023-09-22,600113,浙江东日,210528543,3918347,5493856,8000,0,0
2023-09-22,600114,东睦股份,353572255,41453122,38035375,9451,1200,1200
2023-09-22,600115,中国东航,350395942,21682749,6355068,1057250,67200,325900
2023-09-22,600116,三峡水利,706024385,37681228,5638696,1109188,42400,124900
2023-09-22,600118,中国卫星,1329976887,24393389,25346619,1878596,135578,458436
2023-09-22,600120,浙江东方,947347099,8975832,7210681,689002,15400,67100
2023-09-22,600121,郑州煤电,96264834,4505033,4550581,1307100,48800,624400
2023-09-22,600123,兰花科创,653806940,61201452,29035876,1012198,222490,330900
2023-09-22,600125,铁龙物流,381061049,12084853,10032227,506716,13800,80900
2023-09-22,600126,杭钢股份,477850719,1746465,2420365,780854,8100,100500
2023-09-22,600127,金健米业,143730164,2950057,7383711,0,0,0
2023-09-22,600129,太极集团,192388814,7725324,5598833,452319,113300,59200
2023-09-22,600130,波导股份,250143977,8375520,5020731,0,0,0
2023-09-22,600131,国网信通,201552999,2493049,3003398,439946,13700,17800
2023-09-22,600132,重庆啤酒,343521045,18148100,17624502,328247,25000,31085
2023-09-22,600133,东湖高新,429131418,22729475,16440289,0,0,0
2023-09-22,600135,乐凯胶片,250016318,1556996,5928051,17282,0,0
2023-09-22,600138,中青旅,563845986,22608496,13516616,888403,46200,59600
2023-09-22,600141,兴发集团,1278679356,21656832,18666986,1331879,71000,75500
2023-09-22,600143,金发科技,1028249448,7446475,3612666,2114781,16600,5400
2023-09-22,600150,中国船舶,2896002422,135524311,82099270,677986,101500,288900
2023-09-22,600151,航天机电,1036527009,2113391,1248078,226047,6900,1200
2023-09-22,600153,建发股份,435347183,8270021,7069272,1347547,117000,83900
2023-09-22,600155,华创云信,1178360313,398933803,324627354,17726944,5326077,4127623
2023-09-22,600157,永泰能源,1080117585,94784248,107222939,59104192,3986600,10209463
2023-09-22,600158,中体产业,733266617,11290776,13450690,601613,24800,26000
2023-09-22,600160,巨化股份,1183507431,33650160,38232601,1960073,172300,198625
2023-09-22,600161,天坛生物,1162290527,6216919,8598162,458055,5200,11000
