"Stkcd","ShortName_EN","Accper","Typrep","F050501B"
"000028","GYYZ","2025-03-31","A","0.016476"
"000028","GYYZ","2025-06-30","A","0.033533"
"000028","GYYZ","2025-06-30","B","0.031815"
"000028","GYYZ","2025-09-30","A","0.047313"
"000028","GYYZ","2025-12-31","A","0.052179"
"000028","GYYZ","2025-12-31","B","0.047448"
"000028","GYYZ","2026-03-31","A","0.013926"
"000029","SSFA","2024-06-30","A","0.001288"
"000029","SSFA","2024-06-30","B","0.001142"
"000029","SSFA","2024-09-30","A","0.001105"
"000029","SSFA","2024-12-31","A","-0.111209"
"000029","SSFA","2024-12-31","B","-0.047269"
"000029","SSFA","2025-03-31","A","0.020756"
"000029","SSFA","2025-06-30","A","0.029167"
"000029","SSFA","2025-06-30","B","-0.003816"
"000029","SSFA","2025-09-30","A","0.040617"
"000029","SSFA","2025-12-31","A","0.028694"
"000029","SSFA","2025-12-31","B","-0.041928"
"000029","SSFA","2026-03-31","A","-0.001192"
"000030","FAGF","2024-06-30","A","0.045775"
"000030","FAGF","2024-06-30","B","0.034784"
"000030","FAGF","2024-09-30","A","0.067260"
"000030","FAGF","2024-12-31","A","0.099954"
"000030","FAGF","2024-12-31","B","0.064858"
"000030","FAGF","2025-03-31","A","0.020546"
"000030","FAGF","2025-06-30","A","0.041552"
"000030","FAGF","2025-06-30","B","0.042718"
"000030","FAGF","2025-09-30","A","0.059593"
"000030","FAGF","2025-12-31","A","0.092608"
"000030","FAGF","2025-12-31","B","0.080961"
"000030","FAGF","2026-03-31","A","0.013940"
"000031","DYC","2024-06-30","A","0.000843"
"000031","DYC","2024-06-30","B","0.018279"
"000031","DYC","2024-09-30","A","0.006545"
"000031","DYC","2024-09-30","B","0.010340"
"000031","DYC","2024-12-31","A","-0.061590"
"000031","DYC","2024-12-31","B","0.008172"
"000031","DYC","2025-03-31","A","0.001549"
"000031","DYC","2025-03-31","B","-0.011973"
"000031","DYC","2025-06-30","A","0.017792"
"000031","DYC","2025-06-30","B","0.041438"
"000031","DYC","2025-09-30","A","0.003141"
"000031","DYC","2025-09-30","B","0.064546"
"000031","DYC","2025-12-31","A","-0.062300"
"000031","DYC","2025-12-31","B","0.009309"
"000031","DYC","2026-03-31","A","0.001349"
"000031","DYC","2026-03-31","B","-0.008366"
"000032","SSDA","2024-06-30","A","0.012314"
"000032","SSDA","2024-06-30","B","-0.006167"
"000032","SSDA","2024-09-30","A","0.002836"
"000032","SSDA","2024-12-31","A","0.066164"
"000032","SSDA","2024-12-31","B","0.003565"
"000032","SSDA","2025-03-31","A","0.001513"
"000032","SSDA","2025-06-30","A","0.001941"
"000032","SSDA","2025-06-30","B","-0.008248"
"000032","SSDA","2025-09-30","A","-0.022464"
"000032","SSDA","2025-12-31","A","0.009632"
"000032","SSDA","2025-12-31","B","-0.015119"
"000032","SSDA","2026-03-31","A","-0.004331"
"000034","SZSM","2024-06-30","A","0.053598"
"000034","SZSM","2024-06-30","B","-0.027134"
"000034","SZSM","2024-09-30","A","0.091119"
"000034","SZSM","2024-12-31","A","0.077938"
"000034","SZSM","2024-12-31","B","0.052926"
"000034","SZSM","2025-03-31","A","0.020699"
"000034","SZSM","2025-06-30","A","0.038951"
"000034","SZSM","2025-06-30","B","-0.023468"
"000034","SZSM","2025-09-30","A","0.058619"
"000034","SZSM","2025-12-31","A","0.047385"
"000034","SZSM","2025-12-31","B","0.018597"
"000034","SZSM","2026-03-31","A","0.021228"
"000035","ZGTY","2024-06-30","A","0.034007"
"000035","ZGTY","2024-06-30","B","0.012148"
"000035","ZGTY","2024-09-30","A","0.034471"
"000035","ZGTY","2024-12-31","A","0.028393"
"000035","ZGTY","2024-12-31","B","0.010590"
"000035","ZGTY","2025-03-31","A","0.010344"
"000035","ZGTY","2025-06-30","A","0.019517"
"000035","ZGTY","2025-06-30","B","0.014654"
"000035","ZGTY","2025-09-30","A","0.029310"
"000035","ZGTY","2025-12-31","A","0.026646"
"000035","ZGTY","2025-12-31","B","0.013211"
"000035","ZGTY","2026-03-31","A","0.011042"
"000036","HLKG","2024-06-30","A","0.006720"
"000036","HLKG","2024-06-30","B","0.007461"
"000036","HLKG","2024-09-30","A","0.007633"
"000036","HLKG","2024-12-31","A","0.008505"
"000036","HLKG","2024-12-31","B","0.006152"
"000036","HLKG","2025-03-31","A","0.001568"
"000036","HLKG","2025-06-30","A","0.001668"
"000036","HLKG","2025-06-30","B","-0.002825"
"000036","HLKG","2025-09-30","A","0.008004"
"000036","HLKG","2025-12-31","A","0.016455"
"000036","HLKG","2025-12-31","B","0.003259"
"000036","HLKG","2026-03-31","A","0.006546"
"000037","SNDA","2024-06-30","A","-0.030084"
"000037","SNDA","2024-06-30","B","-0.000807"
"000037","SNDA","2024-09-30","A","-0.036623"
"000037","SNDA","2024-12-31","A","0.042394"
"000037","SNDA","2024-12-31","B","0.002112"
"000037","SNDA","2025-03-31","A","-0.009329"
"000037","SNDA","2025-06-30","A","-0.016838"
"000037","SNDA","2025-06-30","B","-0.009723"
"000037","SNDA","2025-09-30","A","-0.010460"
"000037","SNDA","2025-12-31","A","0.143593"
"000037","SNDA","2025-12-31","B","-0.022494"
"000037","SNDA","2026-03-31","A","0.010833"
"000039","ZJJT","2024-06-30","A","0.021075"
"000039","ZJJT","2024-06-30","B","-0.007523"
"000039","ZJJT","2024-09-30","A","0.040564"
"000039","ZJJT","2024-09-30","B","-0.004548"
"000039","ZJJT","2024-12-31","A","0.061676"
"000039","ZJJT","2024-12-31","B","-0.003927"
"000039","ZJJT","2025-03-31","A","0.010789"
"000039","ZJJT","2025-03-31","B","-0.002610"
"000039","ZJJT","2025-06-30","A","0.025789"
"000039","ZJJT","2025-06-30","B","0.061796"
"000039","ZJJT","2025-09-30","A","0.034698"
"000039","ZJJT","2025-09-30","B","0.065970"
"000039","ZJJT","2025-12-31","A","0.020017"
"000039","ZJJT","2025-12-31","B","0.062289"
"000039","ZJJT","2026-03-31","A","0.006016"
"000039","ZJJT","2026-03-31","B","-0.008230"
"000040","DXLT","2024-06-30","A","-0.008509"
"000040","DXLT","2024-06-30","B","-0.002093"
"000040","ST XL","2024-09-30","A","-0.012039"
"000042","ZZKG","2024-06-30","A","-0.083938"
"000042","ZZKG","2024-06-30","B","0.014972"
"000042","ZZKG","2024-09-30","A","-0.106977"
"000042","ZZKG","2024-12-31","A","-0.816015"
"000042","ZZKG","2024-12-31","B","0.001882"
"000042","ZZKG","2025-03-31","A","0.042842"
"000042","ZZKG","2025-06-30","A","0.057721"
"000042","ZZKG","2025-06-30","B","0.023050"
"000042","ZZKG","2025-09-30","A","0.018131"
"000042","ZZKG","2025-12-31","A","-0.614103"
"000042","ZZKG","2025-12-31","B","0.034743"
"000042","ZZKG","2026-03-31","A","-0.036401"
"000045","SFZA","2024-06-30","A","0.016114"
"000045","SFZA","2024-06-30","B","0.004669"
"000045","SFZA","2024-09-30","A","0.029083"
"000045","SFZA","2024-12-31","A","0.033777"
"000045","SFZA","2024-12-31","B","-0.002894"
"000045","SFZA","2025-03-31","A","0.006809"
"000045","SFZA","2025-06-30","A","0.011191"
"000045","SFZA","2025-06-30","B","0.005847"
"000045","SFZA","2025-09-30","A","0.019020"
"000045","SFZA","2025-12-31","A","0.022286"
"000045","SFZA","2025-12-31","B","0.008713"
"000045","SFZA","2026-03-31","A","0.007202"
"000048","JJZN","2024-06-30","A","0.058899"
"000048","JJZN","2024-06-30","B","0.027475"
"000048","JJZN","2024-09-30","A","0.147232"
"000048","JJZN","2024-12-31","A","0.168919"
"000048","JJZN","2024-12-31","B","0.030415"
"000048","JJZN","2025-03-31","A","0.025541"
"000048","JJZN","2025-06-30","A","0.052288"
"000048","JJZN","2025-06-30","B","-0.008236"
"000048","JJZN","2025-09-30","A","0.070772"
"000048","JJZN","2025-12-31","A","0.037716"
"000048","JJZN","2025-12-31","B","-0.034757"
"000048","JJZN","2026-03-31","A","-0.060605"
"000049","DSDC","2024-06-30","A","0.008516"
"000049","DSDC","2024-06-30","B","0.028642"
"000049","DSDC","2024-09-30","A","0.022376"
"000049","DSDC","2024-12-31","A","0.045065"
"000049","DSDC","2024-12-31","B","0.096862"
"000049","DSDC","2025-03-31","A","0.003789"
"000049","DSDC","2025-06-30","A","0.005421"
"000049","DSDC","2025-06-30","B","0.001977"
"000049","DSDC","2025-09-30","A","0.025272"
"000049","DSDC","2025-12-31","A","0.031743"
"000049","DSDC","2025-12-31","B","0.070173"
"000049","DSDC","2026-03-31","A","0.012244"
"000050","STMA","2024-06-30","A","-0.016979"
"000050","STMA","2024-06-30","B","0.001360"
"000050","STMA","2024-09-30","A","-0.016259"
"000050","STMA","2024-12-31","A","-0.023700"
"000050","STMA","2024-12-31","B","0.001130"
"000050","STMA","2025-03-31","A","0.002320"
"000050","STMA","2025-06-30","A","0.005847"
"000050","STMA","2025-06-30","B","0.003829"
"000050","STMA","2025-09-30","A","0.009375"
"000050","STMA","2025-12-31","A","0.003755"
"000050","STMA","2025-12-31","B","0.005641"
"000050","STMA","2026-03-31","A","-0.005393"
"000055","FDJT","2024-06-30","A","0.019363"
"000055","FDJT","2024-06-30","B","0.023938"
"000055","FDJT","2024-09-30","A","0.024789"
"000055","FDJT","2024-12-31","A","0.023674"
"000055","FDJT","2024-12-31","B","0.024871"
"000055","FDJT","2025-03-31","A","0.005322"
"000055","FDJT","2025-06-30","A","0.002819"
"000055","FDJT","2025-06-30","B","0.010186"
"000055","FDJT","2025-09-30","A","0.002592"
"000055","FDJT","2025-12-31","A","-0.091916"
"000055","FDJT","2025-12-31","B","0.006157"
"000055","FDJT","2026-03-31","A","0.005004"
"000056","HTGJ","2024-06-30","A","-0.184570"
"000056","HTGJ","2024-06-30","B","-0.000512"
"000056","HTGJ","2024-09-30","A","-0.380691"
"000056","HTGJ","2024-12-31","A","-2.034236"
"000056","HTGJ","2024-12-31","B","-0.035718"
"000056","HTGJ","2025-03-31","A","-0.388372"
"000056","HTGJ","2025-06-30","A","-1.697743"
"000056","HTGJ","2025-06-30","B","-0.010482"
